iso3,country,region,gdp_usd_bn,gdp_usd_tn,population_year,population,gdp_per_capita
USA,United States,Americas,32383.919999999995,32.383919999999996,2024,340110988,95215.74175074871
CHN,China,Asia,20851.593,20.851593,2024,1408975000,14799.12205681435
DEU,Germany,Europe,5452.858,5.452858,2024,83516593,65290.71414587039
JPN,Japan,Asia,4379.253000000001,4.379253,2024,123975371,35323.57245375778
GBR,United Kingdom,Europe,4264.794,4.264794,2024,69226000,61606.8240256551
IND,India,Asia,4153.191000000001,4.1531910000000005,2024,1450935791,2862.4223247932828
FRA,France,Europe,3596.094,3.596094,2024,68551653,52458.16610724179
ITA,Italy,Europe,2738.1639999999998,2.738164,2024,58952704,46446.79233033993
RUS,Russia,Europe,2656.452,2.6564520000000003,2024,143533851,18507.494792987894
BRA,Brazil,Americas,2635.9120000000003,2.6359120000000003,2024,211998573,12433.630862222833
CAN,Canada,Americas,2507.34,2.50734,2024,41288599,60727.175557591574
AUS,Australia,Oceania,2123.963,2.1239630000000003,2024,27196812,78096.0283139068
MEX,Mexico,Americas,2120.8550000000005,2.1208550000000006,2024,130861007,16206.92862313065
ESP,Spain,Europe,2091.2219999999998,2.0912219999999997,2024,48848840,42810.06468116745
KOR,South Korea,Asia,1931.008,1.931008,2024,51751065,37313.39635232628
TUR,Turkey,Asia,1640.223,1.640223,2024,85518661,19179.7086252321
IDN,Indonesia,Asia,1539.8719999999998,1.539872,2024,283487931,5431.878509141894
NLD,Netherlands,Europe,1449.704,1.4497039999999999,2024,17993485,80568.27234968657
SAU,Saudi Arabia,Asia,1388.676,1.388676,2024,35300280,39338.95141908223
CHE,Switzerland,Europe,1146.911,1.146911,2024,9005582,127355.56680290069
POL,Poland,Europe,1134.248,1.1342480000000001,2024,36559233,31024.93971905812
TWN,Taiwan,Asia,976.719,0.976719,NA,NA,NA
IRL,Ireland,Europe,779.381,0.779381,2024,5395790,144442.4264102198
BEL,Belgium,Europe,776.73,0.77673,2024,11858610,65499.24485247428
SWE,Sweden,Europe,760.481,0.760481,2024,10569709,71949.09528729694
ISR,Israel,Asia,719.8479999999998,0.7198479999999998,2024,9974400,72169.55405838946
ARG,Argentina,Americas,688.378,0.688378,2024,45696159,15064.242051503716
SGP,Singapore,Asia,659.572,0.659572,2024,6036860,109257.46166053214
AUT,Austria,Europe,623.719,0.623719,2024,9177982,67958.18514353155
ARE,United Arab Emirates,Asia,621.5459999999999,0.6215459999999999,2024,10986400,56574.12801281583
NOR,Norway,Europe,599.4059999999998,0.5994059999999999,2024,5572279,107569.27282356104
THA,Thailand,Asia,579.996,0.579996,2024,71668011,8092.815635695541
COL,Colombia,Americas,539.53,0.53953,2024,52886363,10201.684695164233
VNM,Vietnam,Asia,527.266,0.527266,2024,100987686,5221.092005217349
MYS,Malaysia,Asia,516.428,0.516428,2024,35557673,14523.672569911985
PHL,Philippines,Asia,512.222,0.512222,2024,115843670,4421.665853645693
