iso3,country,region,gdp_usd_bn,gdp_usd_tn
USA,United States,Americas,32383.919999999995,32.383919999999996
CHN,China,Asia,20851.593,20.851593
DEU,Germany,Europe,5452.858,5.452858
JPN,Japan,Asia,4379.253000000001,4.379253
GBR,United Kingdom,Europe,4264.794,4.264794
IND,India,Asia,4153.191000000001,4.1531910000000005
FRA,France,Europe,3596.094,3.596094
ITA,Italy,Europe,2738.1639999999998,2.738164
RUS,Russia,Europe,2656.452,2.6564520000000003
BRA,Brazil,Americas,2635.9120000000003,2.6359120000000003
CAN,Canada,Americas,2507.34,2.50734
AUS,Australia,Oceania,2123.963,2.1239630000000003
MEX,Mexico,Americas,2120.8550000000005,2.1208550000000006
ESP,Spain,Europe,2091.2219999999998,2.0912219999999997
KOR,South Korea,Asia,1931.008,1.931008
TUR,Turkey,Asia,1640.223,1.640223
IDN,Indonesia,Asia,1539.8719999999998,1.539872
NLD,Netherlands,Europe,1449.704,1.4497039999999999
SAU,Saudi Arabia,Asia,1388.676,1.388676
CHE,Switzerland,Europe,1146.911,1.146911
POL,Poland,Europe,1134.248,1.1342480000000001
TWN,Taiwan,Asia,976.719,0.976719
IRL,Ireland,Europe,779.381,0.779381
BEL,Belgium,Europe,776.73,0.77673
SWE,Sweden,Europe,760.481,0.760481
ISR,Israel,Asia,719.8479999999998,0.7198479999999998
ARG,Argentina,Americas,688.378,0.688378
SGP,Singapore,Asia,659.572,0.659572
AUT,Austria,Europe,623.719,0.623719
ARE,United Arab Emirates,Asia,621.5459999999999,0.6215459999999999
NOR,Norway,Europe,599.4059999999998,0.5994059999999999
THA,Thailand,Asia,579.996,0.579996
COL,Colombia,Americas,539.53,0.53953
VNM,Vietnam,Asia,527.266,0.527266
MYS,Malaysia,Asia,516.428,0.516428
PHL,Philippines,Asia,512.222,0.512222
BGD,Bangladesh,Asia,510.7049999999999,0.510705
DNK,Denmark,Europe,503.77199999999993,0.5037719999999999
ROU,Romania,Europe,480.834,0.480834
ZAF,South Africa,Africa,479.964,0.479964
HKG,Hong Kong SAR China,Asia,450.1379999999999,0.4501379999999999
CZE,Czechia,Europe,432.59699999999987,0.43259699999999984
EGY,Egypt,Africa,429.645,0.429645
CHL,Chile,Americas,407.85,0.40785000000000005
