iso3,country,region,gdp_usd_bn,gdp_usd_tn
USA,United States,Americas,32383.92,32.38392
CHN,China,Asia,20851.593,20.851593
DEU,Germany,Europe,5452.858,5.452858
JPN,Japan,Asia,4379.253,4.379253
GBR,United Kingdom,Europe,4264.794,4.264794
IND,India,Asia,4153.191,4.153191
FRA,France,Europe,3596.094,3.596094
ITA,Italy,Europe,2738.164,2.738164
RUS,Russia,Europe,2656.452,2.656452
BRA,Brazil,Americas,2635.912,2.635912
CAN,Canada,Americas,2507.34,2.50734
AUS,Australia,Oceania,2123.963,2.123963
MEX,Mexico,Americas,2120.855,2.120855
ESP,Spain,Europe,2091.222,2.091222
KOR,South Korea,Asia,1931.008,1.931008
TUR,Türkiye,Asia,1640.223,1.640223
IDN,Indonesia,Asia,1539.872,1.539872
NLD,Netherlands,Europe,1449.704,1.449704
SAU,Saudi Arabia,Asia,1388.676,1.388676
CHE,Switzerland,Europe,1146.911,1.146911
POL,Poland,Europe,1134.248,1.134248
TWN,Taiwan,Asia,976.719,0.976719
IRL,Ireland,Europe,779.381,0.779381
BEL,Belgium,Europe,776.73,0.77673
SWE,Sweden,Europe,760.481,0.760481
ISR,Israel,Asia,719.848,0.719848
ARG,Argentina,Americas,688.378,0.688378
SGP,Singapore,Asia,659.572,0.659572
AUT,Austria,Europe,623.719,0.623719
ARE,United Arab Emirates,Asia,621.546,0.621546
NOR,Norway,Europe,599.406,0.599406
THA,Thailand,Asia,579.996,0.579996
COL,Colombia,Americas,539.53,0.53953
VNM,Vietnam,Asia,527.266,0.527266
MYS,Malaysia,Asia,516.428,0.516428
PHL,Philippines,Asia,512.222,0.512222
BGD,Bangladesh,Asia,510.705,0.510705
DNK,Denmark,Europe,503.772,0.503772
ROU,Romania,Europe,480.834,0.480834
ZAF,South Africa,Africa,479.964,0.479964
HKG,Hong Kong,Asia,450.138,0.450138
CZE,Czechia,Europe,432.597,0.432597
EGY,Egypt,Africa,429.645,0.429645
CHL,Chile,Americas,407.85,0.40785
PER,Peru,Americas,380.9,0.3809
PRT,Portugal,Europe,380.637,0.380637
NGA,Nigeria,Africa,377.365,0.377365
KAZ,Kazakhstan,Asia,360.456,0.360456
FIN,Finland,Europe,337.669,0.337669
DZA,Algeria,Africa,317.173,0.317173
GRC,Greece,Europe,307.554,0.307554
IRN,Iran,Asia,300.293,0.300293
NZL,New Zealand,Oceania,278.636,0.278636
HUN,Hungary,Europe,271.122,0.271122
IRQ,Iraq,Asia,264.784,0.264784
UKR,Ukraine,Europe,225.337,0.225337
QAT,Qatar,Asia,217.416,0.217416
MAR,Morocco,Africa,194.333,0.194333
UZB,Uzbekistan,Asia,181.502,0.181502
KWT,Kuwait,Asia,172.92,0.17292
SVK,Slovakia,Europe,168.897,0.168897
AGO,Angola,Africa,152.354,0.152354
BGR,Bulgaria,Europe,148.121,0.148121
KEN,Kenya,Africa,147.265,0.147265
ECU,Ecuador,Americas,138.194,0.138194
DOM,Dominican Republic,Americas,136.148,0.136148
PRI,Puerto Rico,Americas,129.012,0.129012
GTM,Guatemala,Americas,128.886,0.128886
COD,DR Congo,Africa,123.406,0.123406
ETH,Ethiopia,Africa,121.527,0.121527
GHA,Ghana,Africa,118.293,0.118293
OMN,Oman,Asia,117.176,0.117176
HRV,Croatia,Europe,116.574,0.116574
CIV,Côte d'Ivoire,Africa,112.115,0.112115
SRB,Serbia,Europe,112.025,0.112025
VEN,Venezuela,Americas,111.303,0.111303
LUX,Luxembourg,Europe,110.417,0.110417
CRI,Costa Rica,Americas,109.931,0.109931
LTU,Lithuania,Europe,105.907,0.105907
BLR,Belarus,Europe,102.042,0.102042
URY,Uruguay,Americas,96.092,0.096092
PAN,Panama,Americas,95.024,0.095024
TZA,Tanzania,Africa,94.889,0.094889
SVN,Slovenia,Europe,86.732,0.086732
MMR,Myanmar,Asia,83.832,0.083832
TKM,Turkmenistan,Asia,83.065,0.083065
BOL,Bolivia,Americas,80.743,0.080743
AZE,Azerbaijan,Asia,78.372,0.078372
UGA,Uganda,Africa,73.37,0.07337
CMR,Cameroon,Africa,65.135,0.065135
JOR,Jordan,Asia,64.909,0.064909
TUN,Tunisia,Africa,60.745,0.060745
PRY,Paraguay,Americas,60.542,0.060542
ZWE,Zimbabwe,Africa,56.713,0.056713
MAC,Macau,Asia,54.228,0.054228
LVA,Latvia,Europe,53.686,0.053686
